entrez_id,gene_name,confidence,label
69215,Sat2,3,HC
216134,Pdxk,-1,LC
22271,Upp1,1,MC
76654,Upp2,0,NC
14863,Gstm2,3,HC
71336,Rbks,3,HC
19682,Rdh5,3,HC
54150,Rdh7,-1,LC
216453,Rdh19,0,NC
103142,Rdh9,3,HC
19683,Rdh16,-1,LC
216454,Rdh16f2,-1,LC
107605,Rdh1,-1,LC
98711,Rdh10,3,HC
108841,Rdh13,3,HC
77974,Rdh12,-1,LC
17252,Rdh11,3,HC
242285,Sdr16c5,-1,LC
105014,Rdh14,3,HC
235033,Rdh8,0,NC
69698,Slc52a3,3,HC
225994,Nmrk1,3,HC
20443,St3gal4,3,HC
20442,St3gal1,3,HC
20444,St3gal2,3,HC
338362,Ust,3,HC
23908,Hs2st1,3,HC
15931,Ids,3,HC
15476,Hs3st1,3,HC
628779,Hs3st4,0,NC
319415,Hs3st5,3,HC
