group,week,n_fits,boundary or fragile (%),weakly identified (%),degraded (%),median trust score,median R2 glc,median R2 lac,median R2 glx,median CIwidth MRglc
HFD,basal,2.0,100.0,0.0,0.0,0.0,0.8269646958846144,-0.09295323642703696,-1.5224874611772208,4.689624345748062
HFD,w3,3.0,33.333333333333336,66.66666666666667,0.0,0.14999999999999997,0.8357011587137156,-0.8210538796550152,-1.5889120300708266,4.2024367070177595
HFD,w6,2.0,100.0,0.0,0.0,0.07499999999999998,0.7937069096818299,-1.9804754631126036,-2.7905997410496473,4.03735134434935
HFD,w9,4.0,50.0,50.0,0.0,0.12499999999999997,0.7713340282441412,-0.6166539486270579,-0.6470784468167756,4.979755403361359
Control,w3,1.0,100.0,0.0,0.0,0.0,0.5306651145349253,-1.674758361572763,0.0914653802164016,3.600530315952328
Control,w6,2.0,100.0,0.0,0.0,0.17499999999999996,0.7217750188044845,-0.6263541415745416,0.07834119951289657,0.9877569281764239
Control,w9,2.0,50.0,50.0,0.0,0.15000000000000002,0.6097551445715237,-0.4612853470196795,-1.7057392316350564,4.687429894291171
